008	Ich heiße...	ismi	My name is...	Je m'appelle...	Moje ime je...	Mijn naam is ...	میرا نام...ہے	Mera naam ... hai	আমার নাম ...	amar nam ...	نام ام _____ است	Naamam ...ast	زما نوم ... دی 	Zma num … dai	Emri im është…	Zovem se	Nazywam się...	Се викам (Se vikam)	Меня зовут...            mʲɪnʲˈæ zɐvˈut...	S: Volám sa / C: Jmenuji se...	ناوم	Az se kazvam / Аз се казвам	Navê min …(y)e.	S: Jag heter.. / N: Jeg heter.. / D: Jeg hedder ..	Minun nimeni on.... /  / Minä olen..	Ég heiti...	Mi chiamo...	Adım ....	Me llamo… / Mi nombre es... 	...vagyok	O meu nome é...	Onomázome...	Ονομάζομαι...	Numele meu este...	Mano vardas yra...	Ako si...	Tôi tên là...		im anouns	
009	Wie heißen Sie?	ma ismak    / schou ismak	What is your name?	Comment vous appelez-vous?	Kako vam je ime?	Hoe heet u?	آپ کا نام کیا ہے؟ / 	Aap ka naam kya hai?	আপনার নাম কী?	apnar nam ki?	نام تان چیست؟	Naametaan chist?	ستاسو څه نوم دی؟  	staso tsa num dai?	Si quheni? Si e keni emrin?	Kako se zovete? 	Jak się Pan (m) / Pani (f) nazywa?	Како се викате? (Kako se vikate?)	Как Вас зовут?	S: Ako sa voláte ? / C: Jak se jmenujete?	ناوت چیه ؟	kak se kazvate? / как се казвате	Navê te çi ye?	S: Vad heter du? / N: Hva heter du? / D: Hvad hedder du?	Mikä sinun nimesi on?	Hvað heitir þú?	Come si chiama? / Come ti chiami? / Qual è il tuo/suo nome?	Adın ne?	¿Cómo se llama? / ¿Cuál es su nombre?	Mi az ön neve?	Como se chama?	Pós onomázeste?	Πώς ονομάζεστε;	Cum vă cheamă?	Koks Jūsų vardas?	Ano ang pangalan mo?	Tên của bạn là gì?			
010	Ich komme aus...	Ana min	I’m from...	Je viens de...	Prihajam iz / sem iz	Ik kom uit ...	میں ۔۔۔۔۔۔۔۔ سے آئی ہوں  /  / میں ۔۔۔۔۔۔۔۔ سے آیا ہوں / 	Mein ____ se aayee hoon.(female saying it)  /  Mein ___ se aaya hoon. (male saying it) / 	আমি ..... থেকে আসছি	ami .... theke ashchhi	(مں از ۔۔۔۔۔۔۔۔ می آیم	Man az .... mi aayum	زه د ... یم 	Za de ...yam	Unë jam nga…	Ja sam iz...	Jestem z...	Јас сум од (Jas sum od)	Я из...                             jˈæ ˈis...	S: Ja som z / C: Jsem z	من خه‌ڵکی	Az sum ot / Аз съм от	Ez ji ...me.	S: Jag kommer från.. / N: Jeg kommer fra.. / D: Jeg kommer fra ..	Olen kotoisin ....sta /  / Tulen .....sta	Ég kem frá...	Vengo da.../Sono di...	....den geliyorum	Soy de…. / Vengo de...	…-ból jövök	Venho de... / Sou de...	Katágome apó...	Κατάγομαι από...	Vin din...	Aš esu iš...	Galing ako sa...	Tôi là người...		yes ... goukam	
011	(die) Familie	Oussra / Aa'ila	family	famille	družina	(de) familie	خاندان	Khaandaan	পরিবার	poribar	فامل	Faamil			Familja	porodica / obitelj / familija	rodzina	Семејство (Semejstvo)	семья	S: rodina / C: rodina	خیزان	semeystvo / семейство	malbat	S: familjen N: familien D: Familien	perhe		la famiglia	aile	Familia	család	Família	Ikogènia	Οικογένεια	Familie	Šeima	Pamilya	Gia đình			
012	(Das ist mein) Mann	hada zawji / da zawji	This is my husband	Voilà mon mari	To je moj mož	Dit is mijn man	یہ میرا شوہر ہے	Yeh mera shohar hai	উনি ... আমার স্বামী	uni ... amar shami	این شوهرم است	Een shoharam ast	دا زما میړه دی 	Da zma merra dai	Ky është burri im	Ovo je moj muž.	To (jest) mój mąż	Ова е маж ми (Ova e mazh mi)	Это мой муж          ˈɛtə mˈoj mˈuʂ	S: To je môj muž / C: To je můj muž	مێرده‌که‌م	Tova e mazhat mi / Това е мъжът ми	Ev mêrê min e.	S: Detta är min man / N: Dette er min mann / D: Det er min mand	Tässä on mieheni	Þetta er eiginmaðurinn minn...	Questo è... mio marito	Bu benim kocam ...	Este es mi... marido / esposo	Ez a férjem	Ele é meu marido	Aftós íne o ándras mu	Αυτός είναι  / ο άντρας μου	Este soțul meu	Tai mano vyras	Siya ang asawa ko	Đây là chồng tôi.		as ... amousins e 	
013	(meine) Frau	hadihi zawjati /di mara'ti / 	my wife	ma femme	To je moja žena	Mijn vrouw	 میری بیوی 	meri biwi 	আমার স্ত্রী 	amar stri 	 / همسرم	Hamsaram	زما ښځه 	Zma khaza / sha-za	Gruaja ime	Ovo je moja žena.	To (jest) moja żona	Ова е жена ми (Ova e zhena mi)	...моя жена               mɐjˈæ ʐᵻnˈa	S: To je moja žena / C: To je moje žena	هاوسه‌ره‌که‌م	Tova e zhena mi / Това е жена ми	Jina min	S: min fru / N: min kone / D: Min kone	vaimoni	Þetta er eiginkonan mín...	Questa è… mia moglie	karım	Esta es mi... mujer / esposa 	a feleségem	Ela é minha mulher	(Aftí íne) i ginéka (mu)	(Αυτή είναι)  / η γυναίκα (μου)	Este soția mea	Mano žmona	Asawa ko	Đây là vợ tôi.		gines e 	
014	(meine) Kinder	Attfali	my children	mes enfants (mon enfant [sing])	To so moji otroci	mijn kinderen	 میرے بچّے  / 	mere bachchey	আমার বাচ্চারা  	amar bachchara	اولادهایم	Awladaayam	زما ماشومان 	zma mashuma-n	Fëmijët e mi	Ovo su moja djeca / deca.	To (są) moje dzieci	Ова се моите деца (Ova se moite deca)	...мои дети            mɐˈi dʲˈetʲɪ	S: Moje deti / C: Moje děti	مناڵه‌کانم	... decata mi/ децата ми	Zarokên min	S: Mina barn / N: mine barn / D: Mine børn	lapseni	Þetta eru börnin mín	Questi sono... i miei figli	çocuklarım (>1) / çocuğum (1)	Estos son mis hijos	a gyerekeim	Eles são meus filhos	(Afta íne) ta pediá (mu)	(Αυτά είναι) / τα παιδιά (μου)	Sunt copiii mei	Mano vaikai	Mga anak ko	Con của chúng tôi		yerekhaners en 	
015	(meine) Tochter	binti	my daughter	ma fille	To je moja hčerka	mijn dochter	 میری بیٹی	meri beti 	আমার মেয়ে	amar meye	دخترم	dokhtaram	زما لور / 	zma lur	Vajza ime	Ovo je moja kći. / Ovo je moja ćerka.	To (jest) moja córka	Ова е ќерка ми (Ova e kjerka mi)	...моя дочь / дочка   mɐjˈæ dˈot͡ɕ / dˈot͡ɕkə	S: Moja dcéra / C: Moje dcera	کچه‌که‌م	dashteria mi / дъщеря ми	Keça min	S: Min dotter / N: min datter / D: Min datter	tyttäreni	Þetta er dóttir mín	Questa è… mia figlia	kızım	Esta es mi hija	a lányom	Ela é minha filha	(Aftí íne) i kóri (mu)	(Αυτή είναι)  / η κόρη (μου)	Este fata mea	Mano duktė	Anak kong babae	Con gái		aghchigs	
016	(mein) Sohn	ibni	my son	mon fils	To je moj sin	mijn zoon	 میرا بیٹا 	mera beta	আমার ছেলে	amar chhele	 بچیم	bachim	زما ځوی 	Zma zui	Djali im	Ovo je moj sin.	To (jest) mój syn	Ова е син ми (Ova e sin mi)	...мой сын                 mˈoj sˈɨn	S: Môj syn / C: Můj syn	کوڕه‌که‌م	sina mi / сина ми	Lawê min	S: Min son / N: min sønn / D: Min søn	poikani	Þetta er sonur minn	Questo è...mio figlio	oğlum	Este es mi hijo	a fiam	Ele é meu filho	(Aftós íne) o giós (mu)	(Αυτός είναι)  / ο γιος (μου)	Este băiatul meu	Mano sūnus	Anak kong lalake	Con trai		dghas	
017	(mein) Baby	tifli	my baby	mon bébé	To je moj otrok	mijn baby	 میرا  بچہ	mera baccha	আমার বাচ্চা	amar bachcha	نوزادم	nozaadam	زما وړوکی 	zma urrokai / 	Foshnja ime	Ovo je moja beba.	To (jest) moje dziecko	Моето бебе (Moeto bebe)	...мой ребенок        mˈoj rʲɪbʲˈɵnək	S: Moje dieťa / C: Moje dítě	مناڵه‌که‌م	moeto bebe / моето бебе	Pitika min	S: Min bäbis / N: min baby / D: Min baby	vauvani	Þetta er barnið mitt	Questo è il mio bebè	bebeğim	Este es mi bebé 	a kisbabám	É o meu bebé	(Aftó íne) to moró (mu)	(Αυτό είναι)  / το μωρό (μου)	Este bebelușul meu	Mano kūdikis	Anak kong sanggol	Con		zavags	
018	(Das ist mein) Bruder.	hadha akhi	This is my brother	(C'est mon) frère	To je moj brat	Dit is mijn broer.	یہ میرا بھائی ہے	Yeh mera bhai hai	এটা ... আমার ভাই	eta ... amar bhai	این برادرم است.	In baraadaram ast.	دا زما ورور دی    	da zma wror dai	Ky është vëllai im.	Ovo je moj brat.	To (jest) mój brat.	Ова е брат ми (Ova e brat mi)	Это мой брат	S: Toto je môj brat / C: Tohle je můj bratr	ئه وه برامه	Tova e brat mi / това е брат ми	Ev birayê min e.	S: Detta är min bror N: Dette er broren min. / D: Det er min bror	Tässä on veljeni		Questo è mio fratello	Bu abim /Bu erkek kardeşim	Este es mi hermano	Ez a testvérem	Este é o meu irmão	Aftós íne o aderfós mu.	Αυτός είναι ο αδερφός μου.	Este fratele meu.	Tai yra mano brolis	Siya ang kapatid ko	Đây là anh của tôi			
019	(Das ist meine) Schwester.	hadhihi ukhti	This is my sister	(C'est ma) soeur	To je moja sestra	Dit is mijn zus.	یہ میری بہن ہے	Yeh meri behen hai / 	এটা ... আমার বোন	eta ... amar bon	این خواهرم است.	In khwaaram ast.	دا زما خور ده  	da zma khor da 	Kjo është motra ime.	Ovo je moja sestra.	To (jest) moja siostra.	Ова е сестра ми (Ova e sestra mi)	Это моя сестра	S: Toto je moja sestra / C: Tohle je moje sestra	اوه خوشکمه	Tova e sestra mi / това е сестра ми	Ev xwişka min e.	S: Detta är min syster N: Dette er min søster. / D: Det er min søster	Tässä on siskoni		Questa è mia sorella	Bu ablam / bu kız kardeşim	Esta es mi hermana	Ez a testvérem	Esta é a minha irmã	Aftí íne i aderfí mu	Αυτή είναι η αδερφή μου.	Este sora mea.	Tai yra mano sesuo	Siya ang kapatid ko	Đây là chị của tôi			
020	(Das ist mein) Vater / Papa	hadha abi	This is my father / dad	C'est mon père.	To je moj oče.	Dit is mijn vader.	یہ میرے باپ/ والد/ ابو ہیں	Yeh meray baap/waalid/abbo hein / 	এটা ... আমার বাবা	eta ... amar baba	این پدرم (بابام) است.	In padaram/babam ast.	دا زما پلار دی   	 da zma plaar dai	Ky është babai/ baba im	Ovo je moj otac.	To (jest) mój ojciec / tata.	Ова е татко ми (Ova e tatko mi)	Это мой отец / папа	S: To je môj otec / C: To je můj otec / táta	ئه وه باوكمه	tova e bashta mi / това е баща ми	Ev bavê min e.	S: Detta är min pappa / far N: Dette er faren min / D: Det er min far	Tässä on isäni		Questo è mio padre/papà	Bu benim babam	Este es mi padre / papá 	Ô az apam	Este é o meu pai	Aftós íne o patéras mu/Aftós íne o babás mu	Αυτός είναι ο πατέρας μου / Αυτός είναι ο μπαμπάς μου	Este tata	Tai yra mano tėvas / tėtis	Siya ang aking ama	Đây là bố của tôi			
021	(Das ist meine) Mutter / Mutti / Mama	hathihi ummi   / Hai Mama	This is my mother / mum	C'est ma mère.	To je moja mama.	Dit is mijn moeder.	یہ میری والدہ/ امّی ہیں۔	Yeh meri waalida/ammi hein / 	এটা ... আমার মা	eta ... amar maa	این مادرم است.	In maadaram ast.	دا زما مور ده    	da zma mor da	Kjo është nëna/mamaja ime	Ovo je moja majka.	To (jest) moja matka / mama.	Ова е мајка ми (Ova e majka mi)	Это моя мама	S: To je moja matka / C: To je moje matka / máma	ئه وه دايكمه	tova e maika mi / това е майка ми	Ev diya min e.	S: Detta är min mamma / mor N: Dette er moren min / D: Det er min mor	Tässä on äitini		Questa è mia madre/mamma	Bu benim annem	Esta es mi madre / mamá 	Ô az anyám	Esta é a minha mãe	Aftí íne i mitéra mu/ Aftí íne i mama mu	Αυτή είναι η μητέρα μου / η μαμά μου	Este mama	Tai yra mano motina / mama	Siya ang aking ina	Đây là mẹ của tôi			
022	Ich habe Hunger.	ana jaw‘an	I’m hungry.	J'ai faim	Lačen sem (m)  Lačna sem (f)	Ik heb honger.	مجھے بھوک لگی ہے / 	Mujhey bhook lagi hai	আমার খিদে লেগেছে / আমি ক্ষুধার্ত / আমি কিছু খেতে চাই	amar khide legechhe / ami khudharto / ami kichhu khete chai	گشنه هستم	goshna hastum	زه وږی يم 	za wagai yam	Kam uri	Gladan sam. (m) / Gladna sam. (f)	Jestem głodny (m) / Jestem głodna (f)	Гладен сум (Gladen sum (m)) / Гладна сум (Gladna sum (f))	Я голоден / голодна	S: Som hladný / C: Mám hlad / Jsem hladový	برسیمه‌	gladen sam / гладен съм	Ez birçî me	S: Jag är hungrig / N: Jeg sulten / D: Jeg er sulten	Minulla on nälkä  / Olen nälkäinen	Ég er svangur.(m)  Ég er svöng. (f)	Ho fame	Açım	Tengo hambre	Éhes vagyok	Estou com fome	Pináo	Πεινάω	Îmi este foame	Aš alkanas	Nagugutom ako	Tôi đói		anoti em	
023	(mein Kind) hat Hunger	tifli jaw‘an	(My child) is hungry	Mon enfant a faim	Moj otrok je lačen	(Mijn kind) heeft honger.	میری بچّی بھوکی ہے۔ /  /   / میرا بچّا بھوکا ہے۔	Meri bachchi bhooki hai /  /  / Mera bachcha bhooka hai	আমার বাচ্চাটার খিদে পেয়েছে	amar bachchatar khide legechhe	بچه ام گشنه شد.	bachem goshna shod.	(زما بچه) وږی دی  / 	zma bacha wagai dai	(Fëmija im) ka uri	Moje dijete / dete je gladno.	Moje dziecko jest głodne.	Моето дете е гладно (Moeto dete e gladno)	Мой ребенок голоден	S: Moje dieťa je hladné / C: Moje dítě má hlad. / Moje dítě je hladové.	منداله که م برسیه تی	moeto dete e gladno / моето дете е гладно	(Zarokê min) birçî ye	S: Mitt barn är hungrigt / N: Mitt barn er sulten / D: Mit barn er sulten	Lapsellani on nälkä / Lapseni on nälkäinen		[mio figlio/mia figlia] ha fame	Çocuğum aç	Mi hijo/hija tiene hambre	A gyerekem éhes	O meu filho/ A minha filha tem fome	(To pedí mu) pinái	(Το παιδί μου) πεινάει	Copilul meu este flămând.	(Mano vaikas) alkanas	Gutom ang anak ko/Nagugutom na ang anak ko	Con tôi bị đói		zavags anoti e 	
024	Ich habe Durst.	ash'ur bi'l-'atsh  / Atschaan	I’m thirsty	j'ai soif.	Žejen sem (m) Žejna sem (f)	Ik heb dorst.	مجھے پیاس لگی ہے۔ / 	Mujhey pyaas lagi hai / 	আমার পিপাসা লেগেছে / আমি পানি খাব	amar pipasha legechhe / ami pani khabo	تشنه استم.	Toshna astam.	زه تږی يم   	za tegai yam	Jam i etur.	Žedan sam. (m) / Žedna sam. (f)	Chce mi się pić.	Жеден сум (Zheden sum (m))/ Жедна сум (Zhedna sum (f))	Я хочу пить	S: Som smädný / C: Mám žízeň	تینوومه	Zhaden sam / жаден съм	Ez tî me	S: Jag är törstig N: Jeg er tørst / D: Jeg er tørstig                                 	Olen janoinen /  / minulla on jano	Ég er þyrstur. (m)  ég er þyrst. (f)	Ho sete	Susadım	Tengo sed	Szomjas vagyok	Tenho sede	Dipsáo	Διψάω.	Îmi este sete.	Aš ištroškęs	Nauuhaw ako	Tôi khát		dzarav em 	
028	Wasser	Ma'a	water	eau	voda	(het) water	پانی	Paani	পানি	pani	آب 	aaw			ujë	voda	woda	Вода (voda)	вода	S, C: voda		voda /вода	av	S: Vatten N: Vann D: Vand	vesi		acqua	su	Agua	víz	água	Neró	Νερό	apă	Vanduo	tubig	Nước			
029	Haben Sie...	indak...?	Do you have...	Avez-vous...?	Imate...	Heeft u...	کیا آپ کے پاس ۔۔۔۔ ہے؟ / 	Kya aap ke paas .... hai? / 	আপনার কাছে কি ... আছে?	apnar kachhe ki .... achhe?	....دارین؟	...daarin?	... لرې؟     	? laré ۔۔۔	A keni...?	Imate li...	Czy ma Pan (m) / Pani (f)...?	Имате ли...? (Imate li...?)	У вас есть…?	S, C: Máte?	...... هه ته ؟	imate li? / имате ли...	...te heye?	S: Har du… / N: Har du... / D: Har du...	Onko sinulla...		Lei ha… ?/ Avete…?	... var mı?	¿Tiene…?	Van önnek...	Tem...?	Mípos éhete…?	Μήπως έχετε …;	Aveți...?	Ar turite...	May... ka ba?	Bạn có ... ?			
030	Wo ist...	ayn? fayn?        / ouin	Where is..?	Où est…	Kje je...?	Waar is ...	۔۔۔۔ کہاں ہے؟	"xxx kahan hai?"	 ..... কোথায়?	... kothay?	...کجاست؟	...kojaast?	... چېرته دی؟       	cherta dai...?	Ku është…	Gdje / gde je...?	Gdzie jest ...?	Каде е (Kade e)	Где…?	S: Kde / C: Kde	.........له کوییه?	kade e? / къде е?	...li kuderê ye?	S: Var är.. / N: Hvor er / D: Hvor er..	Missä on...		Dov'è...	... nerede?	¿Dónde está…?	Hol van...	Onde está…? 	Pu íne...?	Πού είναι...;	Unde este?	Kur yra...?	Saan ang...?				
031	Wo ist die Toilette?  / / Wo ist das Badezimmer?	ayna 'l-hammam	Where is the toilet? /  / Where is the bathroom?	Où sont les toilettes? /Où est la salle de bain?	Kje je wc / kopalnica?	Waar is de wc / Waar is de badkamer?	غسل خانہ کدھر ہے؟ / 	Ghusulkhana kidhar hai?	বাথরুম কোনদিকে? / বাথরুমটা  কোথায়? 	bathroom ta kothay?	 تشناب کجاست؟	Tashnaab kojast?	تشناب / غسل خانه چېرته دی؟   	tashnab/ghusl khana cherta dai?	Ku është tualeti/ Ku është banjoja?	Gdje / gde je WC (zahod, toalet)?	Gdzie jest toaleta? / Gdzie jest łazienka?	Каде е тоалетот? (Kade e toaletot?)	Где туалет?	S: Kde je toaleta (záchod), prosím? / C: Kde je toaleta (záchod), prosím?	توالیت له کوییه؟	kade e toaletnata / къде е тоалетната	Tûwalet/ serşok li ku derê ye?	S: Var finns toaletten/badrummet? / N: Hvor er toalettet? / D: Hvor er toilettet henne?	Missä on vessa / wc		Dov’è il bagno?	Tuvalet nerede?	¿Dónde está el baño?	Hol van a WC / fürdőszoba?	Onde fica a casa de banho?	Pu íne i tualéta/ to bánio?	Πού είναι η τουαλέτα/το μπάνιο;	Unde este toaleta/baia?	Kur yra tualetas / Kur yra vonios kambarys?	Nasaan ang banyo / CR?	Nhà vệ sinh ở đâu?/Nhà tắm ở đâu?			
032	Ich brauche eine Dusche	Bihaja ana athamam	I need to take a shower	j'ai besoin de prendre une douche	Rad bi se stuširal (m) Rada bi se stuširala (f)	Ik moet/wil douchen.	مجھے نہانے کی ضرورت ہے۔ / 	Mujhey nahaney ki zaroorat hai.	আমাকে গোসল করতে হবে	amake goshol korte hobe	باید شاور بی گیرم.	Baayad shaawar bigiram.	زه غواړم غسل وکړم      	za ghwarram ghusl u-krram	Kam nevojë të bëj një dush	Moram se otuširati. / Moram da se istuširam.	Muszę wziąć przysznic.	Мора да се истуширам (Mora da se istushiram)	Мне нужно принять душ	S: Potrebujem sa osprchovať.  / C: Potřebuji se osprchovat.	پیویسته حه مامیک بکه م	Triabva da se izkapya / трябва да се изкъпя	Divê ez serê xwe bişom	S: Jag måste ta en dusch N: Jeg må dusje / D: Jeg har brug for et bad	minun täytyy käydä suihkussa		Ho bisogno di fare una doccia	yıkanmam lazım	Necesito ducharme	Zuhanyozni szeretnék	Preciso de tomar banho	Prépi na káno duz	Πρέπει να κάνω ντους	Aș vrea să fac un duș	Man reikia nusiprausti	Kailangan ko maligo	Tôi cần phải tắm rửa			
033	Wo kann ich duschen?	Ayna Bi Istitaa'ati elta7amom   / ouin Alhammam	Where can I take a shower?	Où puis-je prendre une douche? 	Kje se lahko stuširam?	Waar kan ik douchen?	میں کہاں نہا سکتی/ سکتا ہوں؟	Mei kahan naha sakti/sakta (weiblich/maennlich, m/f) hoo?	কোথায় গোসল করতে পারি?	ami kothay goshol korte pari? 	در کجا شاور بی گیرم؟	Da kojaa shaawar bigiram?	چیرته کولای شم غسل وکړم؟    	cherta kawalay sham ghusl u-krram?	Ku mund të bëj një dush?	Gdje se mogu otuširati? / Gde mogu da se istuširam?	Gdzie mogę wziąć przysznic?	Каде може да се истуширам? (Kade mozhe da se istushiram?)	Где я могу принять душ?	S: Kde sa môžem osprchovať? / C: Kde se mohu osprchovat?	له کوی ده توانم خؤم بشؤم 	Kude moga da se izkapya? / Къде мога да се изкъпя?	Li ku derê ez dikarim serê xwe bişom?	S: Var kan jag duscha N: Hvor kan jeg dusje? / D: Hvor kan jeg tage et bad?	Missä voin peseytyä/ / käydä suihkussa?		Dove posso fare una doccia?	nerede yıkanabilirim?	¿Dónde puedo ducharme?	Hol lehet zuhanyozni?	Onde posso tomar um banho?	Pu boró na káno duz?	Πού μπορώ να κάνω ντους;	Unde pot să fac un duș?	Kur aš galėčiau nusiprausti?	Saan ako pwedeng maligo?	Tôi có thể tắm rửa ở đâu?			
034	(die) Damenbinde	Fouta Sohiya	sanitary pad / towel	serviette hygiénique	Damski vložki	(het) maandverband	سینیٹری پیڈ / تولیہ / کپڑے	Sanitary pad /toliya / kapray	স্যানিটারি প্যাড  	sanitary pad	نوار بهداشتی	nawaree bedashati	توکري      	tukri	Peceta higjenike/lines	higijenski ulošci	podpaska	(Хигиенска) влошка ((Higienska) vloshka)	(гигиениченые) прокладки	S: hygienické vložky / C: hygienické vložky	سانتی                 	damski prevrazki / дамски превръзки	Ped	S: Binda N: Bind / D: Bind	terveysside		Assorbente	ped	Toalla sanitaria	Intim betét	Penso higiénico	Serviéta	Σερβιέτα	tampon	Rankšluostis	Napkin	Khăn tắm			
