Everybody: The sheet is closed from further editing. We still need help with Pashto, Tigrinya, Amharic and the Kurdish languages. If you can help with that, get in touch with medical@refugeephrasebook.de																																						
Ich habe Asthma	عندي أزمة (صدرية) أو عندي ربو	I have asthma		Astımım var.	J'ai de l'asthme	من آسم دارم	আমার হাঁপানির রোগ আছে। 	ماتہ دہ دمہ بیماری دہ	Unë kam azëm	Imam astmu.	Имам астму.	У меня  астма	Soffro di asma	Min tenge nefesî heye. / من ته‌نگه‌ نه‌فه‌سی هه‌یه‌.	Astima min heye	Jag har astma/Jeg har astma / jeg har astma	Minulla on astma.				مجھے دمہ ہے	C: Mám astma. S: Mám astmu.	Tengo asma	Asztmas vagyok	Tenho asma	 Έχω άσθμα.	Sufăr de astm.	Mám astma.	Имам астма.	Имам астма (imam astma)	May asthma ako	Toi bi benh hen. 	Mam astmę	Imam astmo		Ik heb astma		천식이 있습니다 
Ich habe chronische Bronchitis	 عندي برونشيت مزمن (أو التهاب قصبات حادّ مزمن)	I have chronic bronchitis		Kronik bronşitim var.	J'ai une bronchite chronique	برونشیت مزمن دارم	আমার পুরোনো ব্রঙ্কাইটিস আছে। 		Kam Bronhitis kronik	Imam kronični (hronični) bronhitis.	Имам хронични бронхитис.	У меня хронический бронхит	Soffro di bronchite cronica	Bronşîtim heye. / برۆنشیتم هه‌یه‌.	Bronşîta min kronîk e.	Jag har kronisk bronkit/Jeg har kronisk bronkitt	Minulla on krooninen keuhkoputken tulehdus				مجھے  دائمی کھانسی ہے	C: Mám chronickou bronchitidu. S: Mám chronickú bronchitídu.	Tengo bronquitis crónica	Kronikus bronchitisem van.	Tenho bronquite crónica	 Έχω χρόνια βρογχίτιδα.	Sufăr de bronșită cronică.	Mám chronickou bronchitidu.	Имам хроничен бронхит.	Имам хроничен бронхитис (Imam hronicen bronhitis)	May chronic bronchitis ako	Toi bi Viêm phế quản	Mam chroniczne zapalenie oskrzeli	Imam kronični bronhitis		Ik heb chronische bronchitis		만성 가관지염이 있습니다 
Ich habe Herzinsuffizienz	لدي قصور القلب (أو فشل القلب)	I have heart failure		Kalp yetmezliğim var.	J'ai une insuffisance cardiaque	من نارسایی قلبی دارم	আমার হৃদরোগ আছে।	دہ زڑہ ناروغی دہ راتہ	Kam lodhje zëmre	Imam zatajenje srca. 		У меня сердечная недостаточность	Soffro di insufficienza cardiaca	Nexoşî dilim heye. / نه‌خۆشی دڵم هه‌یه‌.	Nexweşiya dil têrnekirinê li min heye	Jag har hjärtproblem/Jeg har hjerteproblemer	Minulla on sydänongelmia				میرادل کمزورہے	C: Mám problém se srdcem. S: Mam problémy zo srdcom.	Tengo una insuficiencia cardíaca	Szivelegtelensegben szenvedek.	Tenho uma insuficiencia cardíaca	 Έχω καρδιακή ανεπάρκεια.	Sufăr de insuficiență cardiacă.	Mám srdeční selhání.	Имам сърдечна недостатъчност.	Имам слабо срце (Imam slabo srce)	May heart failure ako	Toi bi Sung huyết suy tim	Mam wadę serca	Imam srčno popuščanje		Ik heb hart problemen		심부전을 가지고 있습니다 
Ich hatte einen Herzinfarkt	حصلت معي ذبحة قلبية 	I had a myocardial infarction		Kalp krizi gecirdim.	J'ai eu un infarctus (du myocarde)	من سکته قلبی داشته ام	আমার হার্ট অ্যাটাক হয়েছে। 		Kam pasur njëherë infarkt ne zemër	Imao (m) / imala (f) sam infarkt / srčani udar.	Имао/имала сам срчани удар.	У меня был инфаркт	Ho avuto un infarto	Celdey dilim heye. / جه‌ڵده‌ی دڵم هه‌یه‌.	Dilê min sekinî / rawestî	Jag har haft hjärtinfarkt/Jeg har hatt et infarkt	Minulla on ollut sydänkohtaus				مجھے دل کا دورہ پژ چکا ہے	C: Jsem po infarktu. S: Mal som infarkt myokardu.	He tenido un infarto	Szívinfarktusom volt.	Tive um enfarte	Εχω περάσει καρδιακό έμφραγμα.	Am suferit un infarct.	Jsem po infarktu.	Имах сърдечен инфаркт.	Имав инфаркт (Imav infarkt)	Inaatake ang puso ko	Toi bi Cơn đau tim	Jestem po zawale serca	Imel sem srčni napad.		Ik heb een hartaanval gehad.		심근경생증이(심장마비) 있었습니다 
Ich habe Epilepsie	لدي صرع	I have epilepsy		Epilepsi/Sara hastasıyım.	Je suis épileptique	من صرع دارم	আমার মৃগীরোগ আছে। 	ماتہ میرگی دہ	Kam epilepsi	Imam epilepsiju.  	Имам епилепсију.	У меня эпилепсия	Soffro di epilessia	سەرعم هەیە	Ez tebê digrim (Epîlepsia min heye)	Jag har epilepsi/Jeg har epilepsi	Minulla on epilepsia				مجھے مرگی ہے	C: Mám epilepsii. S: Mám epilepsiu.	Tengo epilepsia	Eplilepszias vagyok.	Tenho epilepsia	 Έχω επιληψία.	Sufăr de epilepsie.	Mám epilepsii.	Имам епилепсия.	Имам епилепсија (Imam epilepsija)	May epilepsi ako	Toi bi Bệnh động kinh	Mam padaczkę / Mam epilepsję	Imam epilepsijo		Ik heb epilepsie		간질병이 있습니다 
Ich habe Krebs	عندي سرطان	I have cancer		Kanserim.	J'ai un cancer	من سرطان دارم.	আমার ক্যান্সার আছে। 	 ماتہ سرطان ناروغۍ دہ	Kam kancer	Imam rak.	Имам рак.	У меня рак	Sono malata/o di cancro	شێرپەنجەم هەیە	Kansera (Penceşêr) min heye	Jag har cancer/Jeg har kreft	Minulla on syöpä				مجھے کینسر ہے	Mám rakovinu.	Tengo cáncer	Rakos vagyok.	Tenho cancro	 Έχω καρκίνο.	Sînt bolnav de cancer.	Mám rakovinu.	Имам рак.	Имам рак (Imam rak)	May kanser ako	Toi bi ung thu.	Mam raka	Imam raka		Ik heb kanker		암을 가지고 있습니다 
Ich habe Tuberkulose	عندي داء السلّ	I have tuberculosis		Tüberküloz/Verem hastasıyım.	J'ai la tuberculose	من سل دارم.	আমার যক্ষ্মা রোগ হয়েছে। 	ما لہ ٹیبی دہ	Kam tuberkuloz	Imam tuberkulozu (sušicu).                                                                                                                                                                                                                                                        	Имам туберкулозу.	У меня туберкулез	Ho la tubercolosi	نەخۆشی سیلم هەیە	Nexweşiya min a tuberkulozê (jana zirav) heye	Jag har tuberkulos/Jeg har tuberkulose	Minulla on tuberkuloosi				مجھے  ثی بی ہے	Mám tuberkulózu	Tengo tuberculosis	Tuberkulozisom van.	Tenho tuberculose	Έχω φυματίωση.	Sînt bolnav de tuberculoză.	Mám tuberkulózu.	Имам туберкулоза.	Имам туберкулоза (Imam tuberkuloza)	May tuberkulosis ako	Toi bi Bệnh lao	Mam gruźlicę	Imam tuberkulozo		Ik heb TBC		결핵이 있습니다 
Ich habe Diabetes	عندي سكّري	I have diabetes		Diyabet/Şeker hastasıyım.	Je suis diabétique	من دیابت دارم.	আমার ডায়াবেটিস আছে। 	ما لہ زیہبیتس دے	Kam diabet	Imam dijabetes.	Имам дијабетес.	У меня диабет	Ho il diabete	نەخۆشی شەکرەم هەیە	Şekirê min heye	Jag har diabetes/Jeg har diabetes	Minulla on Diabetes				مجھے ذیابطس (شوگر) ہے	Mám cukrovku	Tengo diabetes	Cukorbeteg vagyok.	Tenho diabetes	 Έχω διαβήτη.	Am diabet	Jsem diabetik.	Имам диабет.	Имам дијабетeс (Imam dijabetes)	May diabetes ako	Toi bi Bệnh tiểu đường	Mam cukrzycę / Jestem cukrzykiem	Imam diabetes/ sladkorno bolezen		Ik heb diabetes		당뇨병이 있습니다 
Ich habe HIV	عندي سيدا	I have HIV		HIV hastasıyım.	J'ai le V.I.H.	من ایدز دارم.	আমার এইচআইভি আছে। 	ما لہ ایچ آی وی دے	Kam HIV	Imam HIV / SIDU / AIDS.	Имам ХИВ.	У меня  ВИЧ	Sono malata/o di HIV	هەلگری نەمانی بەرگری لەش	HIV a min heye (Vîrûsê AIDSê)	Jag har HIV/Jeg har HIV	Minulla on HIV				مجھے ایچ آی وی ہے	Mám HIV	Tengo VIH/SIDA	HIV pozitiv / AIDS-es vagyok	Tenho sida	 Έχω τον ιό HIV.	Am SIDA	Jsem HIV pozitivní.	Аз съм ХИВ позитивен.	Имам ХИВ (Imam HIV)	May HIV ako	Toi co benh SIDA.	Mam HIV	Imam HIV		Ik heb het HIV virus		면역결핍 바이러스를 가지고 있습니다 
Ich habe Leukämie	عندي لوكيميا	I have leukaemia		Lösemi hastasıyım.	J'ai la leucémie	سرطان خون دارم	আমার লিউকেমিয়া আছে। 	 ماتہ دہ وینے  سرطان ناروغۍ دہ	Kam leukemi	Imam leukemiju.	Имам леукемију.	У меня белокровие/лейкемия	Ho la leucemia	شێرپەنجەی خوێنم هەیە	Kansera min a xwînê (leukaemî) heye 	Jag har leukemi/Jeg har leukemi	Minulla on leukemia				مجھے لیوکیمیا ہے	C: Mám leukemii. S: Mám leukemiu	Tengo leucemia	Leukemias vagyok.	Tenho leucemia	Έχω λευχαιμία.	Am leucemie	Mám leukemii.	Имам левкемия. 	Имам леукемија (Imam leukemija)	May leukaemia ako	Toi bi ung thu mau.	Mam białaczkę	Imam levkemijo		Ik heb leukemie		백혈병을 가지고 있습니다 
Ich habe Sichelzellenanämie	عندي فقر دم منجلي (أو فقر دم انحلالي)	I have sickle cell disease		Orak hücreli anemi hastaligim var.	J'ai une sicklanémie (Syn: hémoglobinose SS , Drépanocytose homozygote	من بیماری سلول داسی شکل دارم	আমার সিকেল সেল রোগ আছে। 		Unë kam anemi drepanocitozës	Imam bolest srpastih stanica (anemiju srpastih ćelija).	Имам анемију српастих ћелија.	У меня серповидноклеточная анемия	Soffro di anemia drepanocitica	شیبوونەوەی خوێنم هەیە		Jag har sicklecellanemi/Jeg har sigdcelleanemi.	Minulla on sirppisoluanemia				مجھے سکل سیل کی بیماری ھے	C: Mám srpkovitou anémii. S: Mám mesiačikovú anémiu. 	Tengo la enfermedad de células falciformes	Sarlósejtes vérszegénységben szenvedek	Eu tenho uma doença falciforme	 Έχω δρεπανοκυτταρική αναιμία.	Sufar de siclemie (anemia cu celule in secera)	Mám srpkovitou anémii.	Имам сърповидно-клетъчно нарушение.	Имам српеста анемија (Imam srpesta anemija)	May sickle cell disease ako		Mam anemię sierpowatą	Imam anemijo srpastih celic.		Ik heb een cel ziekte (sikkelcelanemie)		겸상적혈구병이 있습니다 
Ich habe Thalassämie	لدي ثالاسيميا	I have thalassaemia		Talasemi hastasıyım.	J'ai la thalassémie	من تالاسمی دارم.	আমার থ্যালাসামিয়া রোগ আছে। 		Unë kam talasemi	Bolujem od talasemije.	Ја болујеm од таласемијe.	У меня эритробластическая анемия/талассемия 	Ho la talassemia	نەخۆشی تالاسیمام هەیە		Jag har talassemi/Jeg har talassemi.	Minulla on talassaemia				مجھے تھیلیسیمیا ہے 	C: Mám geneticky pomíněnou anemii S: Mám talasémiu.	Tengo talasemia/anemia de Cooley	Thalassemiam van	eu tenho talassemia	Έχω Θαλασσαιμία.	Sufar de talasemie	Mám geneticky pomíněnou anemii	Имам таласемия.	Имам таласемија (Imam talasemija)	May thalassaemia ako		Cierpię na talasemię / niedokrwistość tarczowatokrwinkową	Imam talasemijo.		Ik heb Thalassemie		지중해빈혈을 가지고 있습니다 
Ich leide an Depressionen	لدي اكتئاب مزمن	I have chronic depression		Kronik depresyon hastasıyım.	Je suis dépressif/dépressive	من افسردگی دارم.	আমার বিষণ্ণতা রোগ আছে। 		Unë kam depresion kronik	Bolujem/patim od kronične depresije (hronične depresije).	Болујем од хроничне депресије.	У меня хроническая депрессия	Soffro di depressione cronica	خەمۆکیم هەیە	Depresyona min a kronîk heye	Jag har kronisk depression/Jeg har kronisk depresjon.	Minulla on masennus				 مجھے شدید ڈپریشن ہے 	C: Trpím chronickou depresí. S: Trpim chronickou depresiou	Tengo depresión crónica	Kronikus depresszioban szenvedek	Tenho depressão crónica	 Έχω κατάθλιψη.	Sufar de depresie cronica	Trpím chronickou depresí.	Страдам от хронична депресия.	Имам хронична депресија (Imam hronicna depresija)	May kronikong depresyon ako	Toi bi Trầm cảm	Cierpię na chroniczną depresję	Imam kronično depresijo		Ik ben depressief		만성우울증이 있습니다 
Ich habe Schizophrenie	لدي شيزوفرينيا (فصام)	I have schizophrenia		Şizofrenim.	Je souffre de schizophrénie 	من شیزوفرنی دارم.	আমার মন বৈকল্য রোগ আছে। 		Kam skizofreni	Bolujem/patim od shizofrenije (šizofrenije).	Болујем од схизофреније.	У меня шизофрения	Sono schizofrenica/o	نەخۆشی خەمۆکیم هەیە	Nexweşiya min a şîzofrenî heye	Jag har schizofreni/Jeg har schizofreni.	Minulla on skitsofrenia				مجھے شیزوفرینیا ہے 	C: Mám schizofrenii. S: Som schizofrenik	Soy esquizofrénico	Skizofren vagyok	Sou esquizofrénico	 Έχω σχιζοφρένεια.	Sufar de schizofrenie	Trpím schizofrenií.	Имам шицофрения.	Имам шизофренија (Imam shizofrenija)	May skisoprenya ako	Toi bi Tâm thần phân liệt	Cierpię na schizofrenię	Imam shizofrenijo		Ik ben schizofreen		정신분열증이 있습니다 
Ich habe eine bipolare Störung	لدي الاضطراب وجداني ثنائي القطب (أو الهوس الاكتئابي)	I have bipolar disorder		Bipolar bozukluğum var.	Je souffre de troubles bipolaires	من (افسردگی) دوقطبی دارم.	আমার বাইপোলার ডিজঅর্ডার আছে। 		Unë kam çrregullim bipolar	Bolujem/patim od bipolarnog poremećaja.	Болујем/патим од биполарног поремећаја.	У меня биполярное расстройство	Soffro di disturbi bipolari		Nexweşiya min a bipolarî heye	Jag har bipolär sjukdom/Jeg har bipolar lidelse.	Olen maanisdepressivinen				مجھے بآے پولر ڈسآڈر ہے	C: Mám bipolární poruchu osobnosti. S: Mám bipolárnu poruchu osobnosti.	Soy bipolar	Bipolaris vagyok	Sou bipolar	 Έχω διπολική διαταραχή.	Sufar de tulburari bipolare (cu trasaturi psihotice)	Trpím bipolární poruchou osobnosti.	Страдам от биполярно разтройство. 	Имам биполарно пореметување (Imam bipolarno poremetuvanje)	May bipolar disorder ako		Cierpię na chorobę dwubiegunową	Imam bipolarno motnjo		Ik heb een bipolaire stoornis		양극성 장애가 있습니다 
																																						
Das sind meine Medikamente	هذا دوائي (أو هذه أدويتي)	This is my medication		Bu(nlar) benim ilaç(lar)ım.	Ce sont mes médicaments	این داروهای من است.	এই যে আমার ওষুধ। 	دا زما دوای دہ	Keto janë medikamentet e mia	Ovo su lijekovi (lekovi) koje uzimam.	Ово је мој лек.	Это мое лекарство	Questo è il farmaco che prendo abitualmente	ئەوە دەرمانەکەمە	Ev dermanê min in.	Detta är mina mediciner/Dette er min(e) medisin(er).	Nämä ovat lääkkeeni				یہ میری دوائی ہے	C: Toto jsou mé léky. S: Toto su moje lieky.	Esta es mi medicación	Ezeket a gyogyszereket szedem	Esta é a minha medicação.	Αυτά είναι τα φάρμακα που παίρνω.	Acesta este medicamentul meu	Toto jsou mé léky.	Това са лекарствата ми.	Ова се моите лекови (Ova se moite lekovi)	Ito ang mga gamot ko	Day la thuoc cua toi. 	To mój lek	To so moja zdravila		Dit zijn mijn medicijnen		이것은 나의 약입니다
Ich nehme diese Medikamente täglich	آخذ هذا الدواء يومياً	I take this medication every day		Bu ilaç(ları) her gün alıyorum.	Je prends ces médicaments tous les jours	من این دارو را هر روز مصرف میکنم.	আমি এই ওষুধগুলো প্রতিদিন খাই। 	زہ دا دوای روزانہ خرم	Unë marrë këto barrna çdo ditë	Ove lijekove (lekove) uzimam svaki dan.	Узимам овај лек сваки дан.	Я принимаю это лекарство каждый день	Assumo questo farmaco giornalmente	ئەم دەرمانە رۆژانە دەخۆم	Ez van dermanan her roj dixwim.	Jag tar denna medicinen varje dag/Jeg tar denne medisinen hver dag.	Otan nämä lääkkeet päivittäin				میں یہ دوا روز لیتا ہوں	C: Tyto léky beru denně. S: Tieto lieky beriem každý deň.	Tomo esta medicación todos los días / cada día	Ezeket a gyogyszereket szedem minden nap	Eu tomo esta medicação todos os dias.	Παίρνω αυτά τα φάρμακα μία φορά την ημέρα.	Iau acest medicament zilnic	Tyto medikamenty beru denně.	Вземам тези лекарства дневно.	Овие лекови ги земам секој ден (Ovie lekovi gi zemam sekoj den)	Iniinom ko ang gamot na ito araw-araw	Toi can phai uong thuoc nay hang ngay.	Biorę ten lek codziennie	Ta zdravila jemljem vsak dan		Ik neem dit medicijn iedere dag		이 약을 매일 복용합니다
Ich nehme diese Medikamente seit Jahren	آخذ هذا الدواء منذ سنوات	I have been taking this medication for years		Bu ilaç(ları) yıllardır kullanıyorum.	Je prends ces médicaments depuis des années	من سال هاست این دارو را مصرف میکنم.	আমি এই ওষুধগুলো অনেকদিন ধরে খাই। 	زہ دا دوای ذیرو کال نا خرم	Unë i kam pirë këto barrna prej vitesh	Ove lijekove (lekove) uzimam već godinama.	Узимам овај лек већ годинама.	Я принимаю это лекарство уже несколько лет	Prendo questo farmaco da anni	چەند سالێکە ئەم دەرمانە دەخۆم	Ez bi salan van dermanan dixwim.	Jeg har tagit den här medicinen i flera år./Jeg har tatt denne medisinen i mange år.	Olen ottanut näitä lääkkeitä jo vuosia				میں یہ دوائی ایک سال سے لے رہا ہوں	C: Tyto léky už beru dlouho. S: Tieto lieky beriem dlhé roky	He tomado esta medicación por años	Evek ota szedem ezeket a gyogyszereket	Eu tomo esta medicação há muitos anos.	Παίρνω αυτά τα φάρμακα πολλά χρόνια.	Iau acest medicament de X ani	Tyto medikamenty beru již několik let.	Вземам тези лекарства от години.	Овие лекови ги земам со години (Ovie lekovi gi zemam so godini)	Ilang taon ko nang iniinom ang gamot na ito	Toi da uong thuoc  nay tu ma nam roi. 	Biorę ten lek od lat	Ta zdravila jemljem že več let		Ik neem deze medicatie al jaren		이 약을 지속적으로 복용해왔습니다 
Ich brauche mehr von diesen Medikamenten	أحتاج للمزيد من هذا الدواء 	I need more of this medication		Bu ilaç(lar)a ihtiyacım var.	J'ai besoin de plus de ces médicaments	من این دارو را بیشتر نیاز دارم.	এই ওষুধ আমার আরও লাগবে।	ماتہ دا دوای نورا پکارا دہ	Kam nevojë për më shumë nga këto barna	Treba mi još ovog lijeka (leka).	Треба ми више од овог лека.	Мне нужно еще больше этого лекарства	Ho bisogno di una prescrizione per questo farmaco	پێویستیم بە دەرمانی زیاترە	Ji van dermanan zêdetir ji bo min pêwîstin	Jag behöver mer av den här medicinen,/Jeg trenger mer av denne medisinen.	Tarvitsen näitä lääkkeitä lisää				مجھے مزید یہ دوا چاہیے	C: Těchto léků potřebuji víc. S: Potrebujem viac týchto liekov	Necesito más de esta medicación	Szuksegem van ezekre a gyogyszerekre	Preciso mais desta medicação.	 Χρειάζομαι περισσότερο από αυτά τα φάρμακα.	Am nevoie de mai multe doze de acest medicament	Potřebuji víc těchto medikamentů.	Имам нужда от повече от тези лекарства.	Ми треба овој лек (Mi treba ovoj lek)	Kailangan ko pa ng maraming gamot na ito	Toi can thuoc nay.	Potrzebuję więcej tego leku	Potrebujem to zdravilo		Ik heb meer van deze medicatie nodig		이 약이 더 필요합니다 
																					 																	
