Botschaft	embassy	l'ambassade	safāra	سفارة	La embajada	büyükelçilik		سفارت خانه 		ambassade	দূতাবাস	سفارتخانہ	ambasadë	veleposlanstvo	конзулат	посольство	ambasciata	ambasadă				ambassad	D: Ambassade	Suurlähetystö	sendiráð		veľvyslanectvo	nagykövetség	embaixada	presvia	Πρεσβεία	Ambasadă	ambasáda, velvyslanectví	посолство	ambasada	veleposlaništvo	embahada			амбасада	
Durchgangszentrum, Notaufnahmelager	transit camp	centre d'accueil temporaire	markiz istiqbāl mu’aqqat	مركز استقبال مؤقّت	El centro (de acogida) temporal / de paso / transitorio	geçici konaklama yeri / 		اردوگاه موقت		transitcentrum	ট্রানজিট ক্যাম্প	عارضی کیمپ	kamp tranziti	tranzitni logor		транзитный центр	centro di transito	centru de tranzit				mottagningsboende	D: Transitlejr				tranzitný tábor	tranzit zóna	centro de instalação temporária	kentro dielefsis 	κέντρο διέλευσης		prozatímní tábor	веменен / преходен лагер	obóz przejściowy	prehodni dom	kampong pang transit			транзитен камп	
mündliche Verhandlung	oral hearing/proceedings	entretien oral	mouqābala / taHqīq shafahi	مقابلة/ تحقيق شفهي	Proceso judicial/audiencia oral	sözlü duruşma/müzakere		آیین شفاهی		mondelinge procedure	মৌখিক শুনানি/ কার্যক্রম 	سماعت/ عدالتی کارروائی	seance dëgjimore/procedim	usmena rasprava		слушание/ведение дела	udienza	audiență				utredning	D: Mundtlig høring	kuuleminen	munnlegt réttarhald		vypočutie	szóbeli tárgyalás	audição	akroasi	ακρόαση		výslech / pohovor k určení statusu uprchlíka	(процедура по) изслушване	przesłuchanie  / wywiad statusowy	ustno zaslišanje	paglilitis			усна расправа	
Grenzübergang	border crossing // crossing point	point de passage frontalier	ma‘bar Hudūdi	معبر حدودي	Paso fronterizo	sınır geçidi		عبور از مرز		grensovergang	বর্ডার পারাপার/ চেকপোস্ট	کراسنگ پوائنٹ	kalimi i kufirit / pikë kalimi	granični prijelaz	гранични прелаз	пересечение границы/пограничный пункт	valico di frontiera / attraversamento dei confini	punct de frontieră/ graniță				gränsövergång	D: Grænseovergang	rajanylityspaikka	landamærastöð		hraničný prechod	határátlépés	passagem de fronteira	synoriaka simia dielefsis 	Συνοριακά σημεία διέλευσης	punct de trecere a frontierei	hraniční přechod	преминаване на граница / граничен пункт	przejście graniczne	mejni prehod				граничен премин	
Grenzübertrittsbescheinigung	border crossing certificate	un certificat de passage frontière	muSaddaqat ‘ubūr al-Hudūd	مصدقة عبور الحدود	Certificado de cruce de frontera			گواهی عبور از مرز			বর্ডার পারাপারের সার্টিফিকেট	سرحد عبور کرنے کا سرٹیفکیٹ	vërtetim për kalim kufiri / certifikatë për kalim kufiri	potvrda za prelazak državne granice	потврда о преласку границе	сертификат пересечения границы	certificato che attesta l'attraversamento dei confini	certificat de trecere punct de frontieră				n/a	D: 		vottun landamærastöðvar		potvrdenie o prekročení hranice	határátlépési tanúsítvány	certificado de transposição de fronteira	Pistopiitiko dielefsis sinoron 	πιστοποιητικό διέλευσης συνόρων		doklad k překročení hranice (i s datem)	разрешително за преминаване на граница	karta przekroczenia granicy (wraz z datą wyjazdu)	potrdilo o prehodu mejnega prehoda	sertipiko para sa pagtawid ng hangganan			потврда за преминување на официјална граница	
Kirchenasyl	church asylum	asile dans une église	al-lujū’ ‘an tarīq al-kanīsa / al-lujū’ al-kanasi	اللجوء عن طريق الكنيسة / الكنسي	Asilo eclesiástico/asilo en la iglesia	kilise sığınma		پناهندگی کلیسا		kerkasiel	গির্জা কর্তৃক শরণার্থী গ্রহণ	چرچ پناه	azil i kishës 	crkveni azil		убежище в церкви или храме	asilo in chiesa / asilo per motivi religiosi	azil în biserică				n/a	D: Kirkeasyl				cirkevný azyl	gyermekotthon	asilo religioso	eklisiastiko asilo 	εκκλησιαστικό άσυλο 		azyl v kostele	църковно убежище	azyl w kościele	cerkveni azil				црковен азил	
Kontingentflüchtling	quota refugee	quota de réfugiés	lāji’ Dimn al-Hissa'l-mukhaSaSa	لاجئ ضمن الحصة المخصصة	cupo de refugiados	mülteci kotası		سهمیه پناهندگی		Vluchtelingenquota	শরণার্থী কোটা	کوٹہ پناه گزین	kuota e refugjateve	kvota za prihvat izbjeglica		контингентные беженцы (в Германии)	quota di rifugiati	cotă de refugiați				kvotflykting	D: Kvoteflygtning	kiintiöpakolainen			kvóta na utečencov	kvótamenekült	quota de refugiados	posostosi prosfigon	ποσόστωση προσφύγων		kvóty na uprchlíky	бежанска квота	kontyngent uchodźców	kvota beguncev	kota ng refugee			квота за прифаќање на бегалци	
offensichtlich unbegründet	clearly unjustified	(Demande d'asile) manifestement infondée	min al-wādeH ‘adam thubūtih	من الواضح عدم ثبوته 	Claramente injustificado	açıkça temelsiz		به وضوح بی اساس		kennelijk ongegrond	সম্পূর্ণরূপে ভুল প্রমাণিত		qartazi e pajustifikuar	očito neutemeljen (zahtjev)		явно необоснованный	manifestatamente infondato/a	în mod cert nefondat				uppenbart ogrundad	D: Åbentlyst ubegrundet				zjavne bezdôvodná	nyilvánvalóan alaptalan	manifestamente infundado	safos avasimi	σαφώς αβάσιμη		zřejmě bezdůvodný (bezdůvodný)		oczywiście bezpodstawny (bezpodstawne)	očitno neutemeljeno				неоправдано барање	
Rechtsanwalt	lawyer // attorney	l'avocat	al-muHāmi	المحامي	El abogado	avukat		وکیل		advocaat	আইনজীবী 	اپ کو وکیل کی ضرورت ہے؟	avokat	odvjetnik	адвокат	адвокат	avvocato	avocat				advokat	D: Advokat	lakimies, juristi	lögmaður		právnik	ügyvéd	advogado/advogada	dikigoros	δικηγόρος	avocat	cestovní doklad / cestovní doklady	адвокат	adwokat	odvetnik	abogado			адвокат 	
Reisedokumente	travel documents	documents de voyage	wathā’iq/awraq as-safar	وثائق/أوراق السَّفَر(ثبوتيَّة)	Los documentos de viaje	seyahat dokümanları		مدارک سفر		reisdocumenten	ট্রাভেল ডকুমেন্ট	سفری دستاویزات	dokumente udhëtimi	putne isprave		подорожный документ (например, паспорт)	documenti di viaggio	documente de călătorie				resedokument	D: Rejsedokumenter	matkustusasiakirjat			cestovné doklady	úti okmányok	documentos de viagem	taxidiotika egrafa	ταξιδιωτικά έγγραφα				dokumenty podróży / dokumenty podróżne	osebni dokumenti za potovanje	dokumento ng pagbiyahe			патни исправи / документи	
Reisepass	passport 	le passeport	jawaz safar	جواز سفر	Pasaporte	pasaport		گذرنامه		paspoort	পাসপোর্ট	پاسپورٹ	pashaportë	putovnica	пасош	паспорт	passaporto	pașaport				pass	D: Pas	Passi	vegabréf		pas	útlevél	passaporte	diavatirio	διαβατήριο	Pașaport	pas	паспорт	paszport 	potni list	pasaporte			паспорт / пасош	
Religionszugehörigkeit	religion	l'appartenance religieuse	al-intimā’ ad-dīni	الانتماء الديني	Religión / confesión religiosa	 / din		دین		religieuze overtuiging	ধর্ম	اپ کا مذہب کیا ہے؟	fe	vjeroispovijest	вероисповест	конфессия/вероисповедание	appartenenza religiosa	religie				religion	D: Religions	uskonto			náboženstvo	vallási hovatartozás	religião / confissão religiosa	thriskia	θρησκεία	religie	náboženství / vyznání	религия	religia 	verska pripadnost	relihiyon			вероисповед / вера	
Rekurs (Austria) Rechtsbehelf (Ger)	appeal	l'appel // le pourvoi	isti’nāf	إستئناف	El recurso / La apelación / El recurso de apelación	temyiz		درخواست		beroep	আপীল	اپیل	apel / apelim	žalba		апелляция	ricorso	apel/ recurs				överklagande	D: Appel/anke	pyyntö			odvolanie	fellebbezés	recurso	efesi/enstasi 	έφεση/ένσταση 	apel (a face apel)	odvolání		odwołanie	rekurz/vrnitev	apila			жалба / поплака	
Rechtsbehelfsbelehrung	instructions on the right to appeal	l'indication des voies de recours	at-ta‘līmāt fi sha’ni Haqqi'l-isti’nāf	التعليمات في شأن حق الاستئناف									udhëzime për të drejtën e apelit			инструкция о подаче апелляции						information / instruktioner om rätten att överklaga							informação sobre as vias de recurso						instrukcje dotyczące prawa odwołania	pravni pouk/pouk o možnosti pritožbe				правилник на правото за жалба	
Richter	judge	le juge	al-qādi	القاضي	El juez / La jueza	hakim		قاضی		rechter	বিচারক	اپ کو جج کی ضرورات ہے؟	gjyqtar	sudac	судија	судья	giudice	judecător				domare	D: Dommer	Tuomari	dómari		sudca	bíró	juiz / juiza	dikastis	δικαστής	judecător	soudce	съдия	sędzia	sodnik	hukom/huwes			судија	
Rückübernahmeabkommen	re-admission agreement (between two countries)	l'accord de réadmission	ittifāqiyat i‘ādat al-qubūl	اتفاقية إعادة القبول (بين دولتين)	Acuerdo de readmisión	Geri Kabul Anlaşması		پذیرش مجدد شرایط (بین دو کشور)		Overnameovereenkomst	পুনরায় দেশে ঢোকার চুক্তি (দুই দেশের মধ্যে) 	دوباره داخلے معاہده	marrëveshje për ripranim (mes dy shtetesh)	Sporazum o ponovnom prihvatu		соглашение о реадмиссии (например, между странами)	accordi di riammissione	aprobare de re-patriere?				återtagandeavtal	D: Tilbagesendelsesaftale				readmisná dohoda	visszafogadási megállapodások	acordo de readmissão	simfonia epana-isdochis (metaksi dio choron)	συμφωνία επανα-εισδοχής (μεταξύ δυο χωρών)		readmisní smlouva		porozumienie o readmisji (pomiedzy dwoma krajami)	sporazum o ponovnem sprejemu				договор за повторно прифаќање - реадмисија (помеѓу две земји)	
subsidiärer Schutz nach EU Recht	subsidiary protection under EU law	la protection subsidiaire selon le droit de l'UE	al-Himāya ath-thānawiya fi kānūn al-ittiHād al-oroppi	الحماية الثانوية في قانون الاتحاد الاوروبي (أي الحماية التي تطال رعايا دول أخرى)	protección subsidiaria bajo legislación europea	AB hukukuna göre ikincil koruma		حمایت تکمیلی تحت قوانین اتحادیه اروپا		subsidiaire bescherming naar EU recht	ইউরোপিয়ান ইউনিয়নের সুরক্ষা আইন		mbrojtje plotësuese nën ligjet e BE-së	supsidijarna zaštita u skladu s pravom EU-a		дополнительная защита в соответствии с законодательством ЕС	protezione sussidiaria ai sensi della legislazione dell'Ue	protecție subsidiară sub lege UE				alternativt skyddsbehövande. Also a category only available in Sweden: övrigt skyddsbehövande	D: Subsidiær beskyttelse i henhold til EU's lovgivning				subsidiárna ochrana podľa predpisov EÚ	Kiegészítő védelem az Európai Unió joga alapján	proteção subsidiária nos termos da legislação da UE	deutereuousa prostasia ypo to Europaiko dikaio	δευτερεύουσα προστασία υπό το Ευρωπαϊκό δίκαιο		subsidiární ochrana		ochrona subsydiarna zgodnie z prawem UE	subsidiarna zaščita po pravu Evropske unije				супсидијарна заштита според правото на ЕУ	
Übersetzung	Translation 	la traduction	at-tarjama	الترجمة	La traducción	tercüme		ترجمه		vertaling	অনুবাদ	ترجمہ	përkthim	prijevod	превод	перевод	traduzione	traducere				översättning	D: Oversættelse	käännös	þýðing		preklad	fordítás	tradução	metafrasi	μετάφραση	traducere	překlad		tłumaczenie	prevod	pagsasalin			превод	
Verhaftung	arrest/detention	l'arrestation	at-tawqīf / al-i‘tiqāl	التوقيف / الاعتقال	La detención / el arresto	tutuklama		بازداشت		aanhouding	গ্রেফতার / আটক	گرفتار	arrestim/paraburgosje	uhićenje	хапшење	арест/задержание	arresto	arest/ detenție				häktning	D: Arrestation/tilbageholdelse	pidätys	handtaka		zatknutie/zadržanie	letartóztatás	detenção	silipsi / kratisi	σύλληψη / κράτηση	reținere / arest	zatčení / zadržení		zatrzymanie / aresztowanie	aretacija/ odvzem prostosti	pag-aresto			приведување	
Visum	visa 	le visa	ta’shīrat dukhūl	تأشيرة دخول	Visa / visado	vize/oturma izni		ویزا		visum	ভিসা	ویزا	vizë	viza	виза 	виза	visto	viză				visum	D: Visum	viisumi			vízum	vízum	visto	viza	βίζα	viză de ședere	vízum		wiza 	viza	bisa			виза	
Visaablehnung	refusal of visa application	refus de visa	rafdu ta’shīrat ad-dukhūl	رفض تأشيرة الدخول	Denegación de visado	vize reddi		امتناع از درخواست ویزا		visumweigering	ভিসার আবেদন নাকচ	ویزا کی درخواست سے انکار	refuzim i kërkesës për  vizë	odbijanje izdavanja vize		отказ в визе	rifiuto del visto	refuz de viză				avslag på visumansökan	D: Afslag på visumansøgning	kielteinen viisumipäätös			zamietnutie žiadosti o vízum	vízum elutasítása	indeferimento de pedido de asilo	aporipsi aitisis gia visa 	απόρριψη αίτησης για βίζα		zamítnutí žádosti o vízum		odrzucenie wniosku wizowego	zavrnitev izdaje vizuma	pagtanggi sa pag-aplay ng visa			одбивање на издавањето на виза	
Wiedererwägung	reconsideration	la reconsidération	i‘ādat naDhar	إعادة نظر	La reconsideración	gözden geçirme		تجدید نظر		Herziening	পুনরায় আবেদনপত্র যাচাই। 		rishqyrtim	preispitivanje		пересмотр	riesame	reconsiderare/ reevaluare				omprövning	D: Genbehandling				opätovné posúdenie	felülvizsgálat	reconsideração	epaneksetasi 	επανεξέταση		znovuprojednání žádosti		ponowne rozpatrzenie	ponovno odločanje	rekonsiderasiyon			преиспитување	
Pflichtverteidiger	assigned counsel/duty counsel	l'avocat (commis) d'office	muHāmi bil-majjān	محامي بالمجان	Abogado de oficio	baro avukatı		وکیل الحاقی دادگاه		Pro Deo-advocaat	নির্ধারিত/ডিউটিতে থাকা পরামর্শক		avokati i caktuar	branitelj po službenoj dužnosti		назначенный адвокат/дежурный адвокат	avvocato d'ufficio	avocat din oficiu				juridiskt ombud	D: Beskikket advokat				advokát ex offo	kirendelt ügyvéd	advogado(a) oficioso(a)	entetalmenos symvoulos/epifortismenos me tin ypothesi symvoulos (dikigoros)	εντεταλμένος σύμβουλος/επιφορτισμένος με την υπόθεση σύμβουλος (δικηγόρος)		advokát ex offo		adwokat z urzędu	zagovornik po uradni dolžnosti	nakatalagang tagapayo			адвокат по службена должност	
Verteidiger	counsel for defence	le défenseur	muHāmi'd-difā‘	محامي الدفاع	Abogado defensor	müdafi		وکیل مدافع		Advocaat	বিবাদীর উকিল		avokati mbrojtës	branitelj		адвокат защиты	avvocato difensore	avocatul apărării				juridiskt ombud	D: Forsvarer	puolustusasianajaja	verjandi		obhajca	védőügyvéd	advogado(a) de defesa	dikigoros yperaspisis	δικηγόρος υπεράσπισης		obhájce		obrońca	zagovornik	tagapayo para sa depensa			бранител / адвокат	
Freispruch	acquittal	l'acquitement	al-Hikmu bil-barā’a	الحكم بالبراءة	Veredicto absolutorio	beraat		تبرئه		Vrijspraak	দোষ থেকে মুক্তি	بری	vendim pafajësie	oslobađajuća presuda		оправдательный приговор	assoluzione	achitare				frikännande	D: Frifindelse	syytteestä vapauttaminen	sýknun		zbavenie obžaloby	felmentés	(sentença de) absolvição / sentença absolutória	athoosi/apallagi	αθώωση/απαλλαγή		zproštění viny		uniewinnienie	oprostilna sodba	pagpapawalang-sala			ослободителна пресуда	
Enthaltung	abstention	l'abstention	imtinā‘	امتناع	Abstención	çekimser oy		خودداری از دادن رای		onthouding	আদালতে অনুপস্থিত থাকা		abstenim	suzdržanost		воздержание	astensione	abținere				avstå ifrån / röstnedläggning	D: 	äänestämästä jättäminen			zdržanie sa	tartózkodás	abstenção	apochi	αποχή		zdržení se		wstrzymanie się	vzdržnost	abstensiyon			воздржување	
von etwas absehen / auf etwas verzichten	to abstain from 	s'abstenir de / renoncer	al-imtinā‘u ‘an	الإمتناع عن	Abstenerse (de hacer algo)	bir şeyden vazgeçmek		به پرهیز از		zich onthouden van	বিরত থাকা		të abstenosh nga	odreći se	одрећи се	воздержаться/добровольно отказаться	astenersi da	a se abține de la				att avstå ifrån / att lägga ned sin röst	D: 	pidättyä			zdržať sa	tartózkodik valamitől	abster-se de (fazer algo)	apecho apo	απέχω από				powstrzymać się 	se vzdržati	pag-iwas			да се одрече од...	
Amtsmissbrauch	abuse of office/abuse of authority	l'abus d'autorité	ash-shaTaT / at-ta‘assuf fi'isti‘māl as-sulta	الشطط/التعسف في استعمال السلطة	Abuso de autoridad	görevi/nüfuzu kötüye kullanma 		سوء استفاده از مقام / سوء استفاده از قدرت		Machtsmisbruik	ক্ষমতার অপব্যবহার করা		shpërdorim i detyrës/autoritetit	zlouporaba položaja i ovlasti		злоупотребление служебным положением	abuso d'ufficio	abuz al autorităților				myndighetsövergrepp	D: Myndighedsmisbrug	väärinkäyttö			zneužitie právomocí verejného činiteľa	hivatali visszaélés	abuso de autoridade / abuso de poder	kataxrisi eksousias	κατάχρηση εξουσίας		zneužití pravomoci (veřejného činitele)		nadużycie władzy	zloraba uradnega položaja	pang-aabuso ng opisina  / pang-aabuso ng maykapangyarihan 			злоупотреба на службена положба и овластување	
Etwas einwilligen	to agree to/to consent to	accepter [une demande] / accéder à [une demande]	al-muwāfaqa ‘ala	الموافقة على	Acceder a	razı olmak		به توافق / به رضایت برسند		iets toestaan	একমত হওয়া/ অনুমতি দেওয়া		të biesh dakord/të japësh pëlqimin	pristati/dati suglasnost	пристати	согласиться на	concordare qualcosa	a accepta să				att samtycka till	D: Indvilge i	antaa suostumus			súhlasiť (s)	egyetért	consentir	simfono	συμφωνώ		souhlasit s		wyrazić zgodę	strinjanje	payag/sangayon			да се согласи / да даде согласност	
Zugang zu Wohnraum	access to housing	l'accès au logement	al-Husūl ‘ala	الحصول على السكن	Acceso a la vivienda	konuta erişim		دسترسی به مسکن		Toegang tot huisvesting	থাকার জায়গা/সুযোগ পাওয়া		qasje/akses në strehim	pristup stanovanju		доступ к жилью	accesso all'alloggio	?				tillgång till bostad	D: Adgang til bolig				prístup k bývaniu	lakhatáshoz való hozzáférés	acesso à habitação	prosvasi se stegasi	πρόσβαση στη στέγαση		právo na bydlení		uzyskać mieszkanie	dostop do bivališča				пристап до станбен објект	
Zugang zur Justiz	access to the judiciary	l'accès à la justice	Haqqu't-taqāDi	حق التقاضي (إمكانية اللجوء الى القضاء)	Acceso a los órganos judiciales/a la justicia	adalete erişim		دسترسی به قوه قضائیه		Toegang tot justitie	বিচারের সুযোগ পাওয়া		qasje/akses në sistemin gjyqesor	pristup pravosuđu		доступ к правосудию	accesso alla giustizia	acces la justiție				tillgång till domstol	D: Adgang til domstolene				právo na spravodlivý proces	igazságszolgáltatáshoz való hozzáférés	acesso à justiça	prosvasi sti dikeosini	πρόσβαση στη δικαιοσύνη		právo na spravedlivý proces		prawo do sądu	dostop do sodišča				пристап до правосуден систем	
Genehmigung	permission 	l'autorisation	Idhn	إذن	Acceso a una autorización	onay 		اجازه / دسترسی به مالکیت		toestemming	অনুমতি/ ঢোকার অনুমতি দেওয়া 	اجازت	leje	dozvola		разрешение	autorizzazione 	permis				tillstånd	D: Tilladelse	lupa 			povolenie 	engedély	autorização	adeia	άδεια/άδεια πρόσβασης		povolení		pozwolenie	pooblastilo za dostop	pahintulot			дозвола	
Zugangsberechtigung	access authorisation	le droit d'accès	taSriHu'd-dukhūl	تصريح الدخول		erişim izni				toegangsautorisatie			autorizim për akses/qasje	ovlaštenje za pristup			autorizzazione di accesso	autorizație de acces					D: adgangstilladelse	suostumus			oprávnenie k prístupu	belépési jog	direito de acesso	adeia prosvasis			přístup k		prawo dostępu	pravica dostopa				овластување за пристап	
Einspruch	appeal	la réclamation	isti’nāf / Ta‘n	استئناف / طعن	apelación	itiraz						اپیل	apel / apelim / 	žalba		апелляция	appello	apel				överklagande	D: appel/anke					fellebezés	reclamação	efesi					odwołanie	ugovor 	apila			поплака	
Klage	complaint	la plainte	shakwa	شكوى	Demanda	şikayet		شکایت / درخواست		verzoek	নালিশ/আপিল	شکایت	ankesë	tužba	тужба	жалоба	causa	plângere				besvärsinlaga [jur]	D: Klage	valitus			sťažnosť	panasz	queixa  	enstasi	ένσταση 		stížnost		zażalenie	tožba	reklamo			тужба	
Das Verfahren	proceedings	la procédure	ijrā’āt	إجراءات	Proceso judicial	dava		دادرسی		procedure	বিচারের কার্যক্রম 		Procedim	sudski spor	судски спор	тяжба	procedura giuridica / procedimento giudirico	procedură juridică				förfarande / förfaringssätt / process	D: Retsproces	oikeudenkäynti			súdne konanie	eljárás	procedimento / processo	diadikasia	διαδικασία		řízení		postępowanie / procedura	proces	paglilitis			судски процес	
Beschleunigtes Verfahren	acceleration of proceedings	la procédure accélérée	tasrī‘u'l-ijrā’āt	تسريع الإجراءات	Aceleración del proceso	hızlandırma		شتاب دادرسی		bespoediging	বিচারকার্য দ্রুত আগানো		përshpejtim i procedimit gjyqësor	skraćeni postupak	убрзање процедуре	процедура в ускоренном порядке	accelerazione dei procedimenti	accelerarea procedurilor				tidigareläggning av process / domstolsprocess	D: Fremskyndelse af retsprocessen				zrýchlené konanie	az eljárás gyorsítása	tramitação acelerada / procedimento expedito	epispefsi tis diadikasias	επίσπευση της διαδικασίας		řádost o neprodlené projednání případu		wniosek o niezwłoczne rozpoznanie sprawy	 skrajšani postopek	pagbilis ng paglilitis			скратена постапка	
